"","count","Time","Birth Year","Stationid1","Stationid2","Gender"
"3",23825,"NA","NA"," 3194","3195 ","NA"
"37",23825,"NA","NA","3195 "," 3194","NA"
"2",11998,"NA","NA"," 3193","3195 ","NA"
"210",11998,"NA","NA","3195 "," 3193","NA"
"36",5549," 08","NA","3209","3186 ","NA"
"361",5549," 08","NA","3186 ","3209","NA"
"32",3940," 08","NA","3194","3195 ","NA"
"321",3940," 08","NA","3195 ","3194","NA"
"35",2913," 07","NA","3214","3183 ","NA"
"351",2913," 07","NA","3183 ","3214","NA"
"31",2743," 18","NA","3194","3195 ","NA"
"311",2743," 18","NA","3195 ","3194","NA"
"34",2537," 07","NA","3209","3186 ","NA"
"341",2537," 07","NA","3186 ","3209","NA"
"22",2473," 08","NA","3207","3195 ","NA"
"221",2473," 08","NA","3195 ","3207","NA"
"33",1973," 07","NA","3213","3186 ","NA"
"331",1973," 07","NA","3186 ","3213","NA"
"25",1945," 08","NA","3267","3183 ","NA"
"251",1945," 08","NA","3183 ","3267","NA"
"28",1936," 07","NA","3194","3195 ","NA"
"281",1936," 07","NA","3195 ","3194","NA"
"29",1869," 19","NA","3194","3195 ","NA"
"291",1869," 19","NA","3195 ","3194","NA"
"1",1696,"NA","NA"," 3280","3195 ","NA"
"112",1696,"NA","NA","3195 "," 3280","NA"
"18",1607," 08","NA","3193","3195 ","NA"
"181",1607," 08","NA","3195 ","3193","NA"
"13",1586," 08","NA","3270","3186 ","NA"
"131",1586," 08","NA","3186 ","3270","NA"
"17",1556," 18","NA","3193","3195 ","NA"
"171",1556," 18","NA","3195 ","3193","NA"
"9",1510," 08","NA","3279","3186 ","NA"
"91",1510," 08","NA","3186 ","3279","NA"
"11",1492," 08","NA","3278","3186 ","NA"
"113",1492," 08","NA","3186 ","3278","NA"
"30",1404," 17","NA","3194","3195 ","NA"
"301",1404," 17","NA","3195 ","3194","NA"
"26",1393," 20","NA","3194","3195 ","NA"
"261",1393," 20","NA","3195 ","3194","NA"
"27",1349," 09","NA","3194","3195 ","NA"
"271",1349," 09","NA","3195 ","3194","NA"
"12",1318," 07","NA","3270","3186 ","NA"
"121",1318," 07","NA","3186 ","3270","NA"
"15",1314," 07","NA","3193","3195 ","NA"
"151",1314," 07","NA","3195 ","3193","NA"
"141",1291,"08","1984","3186","3209","1"
"1411",1291,"08","1984","3209","3186","1"
"20",1188," 06","NA","3267","3183 ","NA"
"201",1188," 06","NA","3183 ","3267","NA"
"6",1173," 08","NA","3201","3195 ","NA"
"61",1173," 08","NA","3195 ","3201","NA"
"7",1126," 07","NA","3279","3186 ","NA"
"71",1126," 07","NA","3186 ","3279","NA"
"23",1110," 21","NA","3194","3195 ","NA"
"231",1110," 21","NA","3195 ","3194","NA"
"21",1081," 06","NA","3213","3186 ","NA"
"211",1081," 06","NA","3186 ","3213","NA"
"8",958," 18","NA","3279","3186 ","NA"
"82",958," 18","NA","3186 ","3279","NA"
"19",940," 06","NA","3207","3195 ","NA"
"191",940," 06","NA","3195 ","3207","NA"
"24",933," 10","NA","3194","3195 ","NA"
"241",933," 10","NA","3195 ","3194","NA"
"14",930," 22","NA","3193","3195 ","NA"
"142",930," 22","NA","3195 ","3193","NA"
"16",908," 17","NA","3193","3195 ","NA"
"161",908," 17","NA","3195 ","3193","NA"
"10",888," 07","NA","3278","3186 ","NA"
"101",888," 07","NA","3186 ","3278","NA"
"5",797," 17","NA","3201","3195 ","NA"
"52",797," 17","NA","3195 ","3201","NA"
"81",717,"07","1979","3186","3203","1"
"811",717,"07","1979","3203","3186","1"
"4",687," 09","NA","3201","3195 ","NA"
"41",687," 09","NA","3195 ","3201","NA"
"110",648,"07","1956","3183","3203","1"
"1101",648,"07","1956","3203","3183","1"
"111",642,"07","1984","3183","3214","1"
"1111",642,"07","1984","3214","3183","1"
"51",640,"08","1968","3186","3203","1"
"511",640,"08","1968","3203","3186","1"
